Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069649,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"10.31MiB / 20MiB",51.54%,"1.44kB / 0B","0B / 4.1kB",14
1741069649,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.21%,"63.18MiB / 7.653GiB",0.81%,"1.44kB / 0B","0B / 16.4kB",30
1741069649,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,0.16%,"48.29MiB / 500MiB",9.66%,"1.57kB / 0B","0B / 201kB",16
1741069661,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,4.56%,"11.31MiB / 20MiB",56.54%,"378kB / 353kB","0B / 180kB",14
1741069661,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.24%,"63.9MiB / 7.653GiB",0.82%,"43.3kB / 53.3kB","0B / 16.4kB",30
1741069661,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,0.28%,"53.12MiB / 500MiB",10.62%,"30.3kB / 21.3kB","0B / 201kB",35
1741069674,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,2.04%,"13.17MiB / 20MiB",65.84%,"1.28MB / 1.2MB","0B / 602kB",14
1741069674,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.16%,"65.37MiB / 7.653GiB",0.83%,"139kB / 176kB","0B / 16.4kB",30
1741069674,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,106.70%,"72.08MiB / 500MiB",14.42%,"107kB / 65.1kB","0B / 201kB",48
1741069686,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,1.17%,"17.48MiB / 20MiB",87.40%,"3.15MB / 2.97MB","0B / 1.23MB",14
1741069686,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.83%,"68.92MiB / 7.653GiB",0.88%,"342kB / 442kB","0B / 16.4kB",30
1741069686,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.60%,"82.72MiB / 500MiB",16.54%,"296kB / 141kB","0B / 201kB",56
1741069698,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,2.75%,"16.85MiB / 20MiB",84.24%,"4.06MB / 3.81MB","0B / 2MB",13
1741069698,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.08%,"68.27MiB / 7.653GiB",0.87%,"400kB / 512kB","0B / 16.4kB",30
1741069698,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,105.55%,"76.18MiB / 500MiB",15.24%,"317kB / 183kB","0B / 201kB",56
1741069710,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,6.06%,"15.95MiB / 20MiB",79.77%,"6.72MB / 6.31MB","0B / 2.94MB",13
1741069710,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.20%,"69.63MiB / 7.653GiB",0.89%,"468kB / 590kB","0B / 16.4kB",30
1741069710,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,104.79%,"70.62MiB / 500MiB",14.12%,"341kB / 234kB","0B / 201kB",45
1741069722,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,12.83%,"16.12MiB / 20MiB",80.59%,"11.2MB / 10.5MB","0B / 4.53MB",13
1741069722,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.20%,"69.01MiB / 7.653GiB",0.88%,"529kB / 662kB","0B / 16.4kB",30
1741069722,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,0.22%,"62.86MiB / 500MiB",12.57%,"365kB / 280kB","0B / 201kB",56
1741069734,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,2.17%,"19.23MiB / 20MiB",96.17%,"13.1MB / 12.3MB","1.39MB / 13.4MB",13
1741069734,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.19%,"76.21MiB / 7.653GiB",0.97%,"926kB / 1.19MB","0B / 16.4kB",30
1741069734,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.58%,"87.08MiB / 500MiB",17.42%,"749kB / 418kB","0B / 201kB",56
1741069746,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,8.88%,"18.32MiB / 20MiB",91.58%,"15.3MB / 14.4MB","1.98MB / 14.6MB",13
1741069746,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.35%,"75.53MiB / 7.653GiB",0.96%,"995kB / 1.27MB","0B / 16.4kB",30
1741069746,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,117.17%,"75.37MiB / 500MiB",15.07%,"774kB / 470kB","0B / 201kB",52
1741069758,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,7.89%,"17.87MiB / 20MiB",89.36%,"19.2MB / 18MB","2.04MB / 15.9MB",13
