DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 15:14:47,23,27,0,1014.185,66.389,13.5,76,1026,0,0,7.407,14
2025-03-04 15:14:49,43,70,0,998.829,67.447,35,76,2660,0,0,1.557,3.9
2025-03-04 15:14:51,63,109,0,1005.294,61.128,54.5,76.257,4156,0,0,1.523,4.147
2025-03-04 15:14:53,83,148,0,1010.311,62.89,74,77,5698,0,0,1.318,3.405
2025-03-04 15:14:55,105,194,0,1004.557,72.583,97,77,7469,0,0,1.082,3.16
2025-03-04 15:14:57,125,230,0,1015.391,64.725,115,76.752,8826.5,0,0,1.457,3.704
2025-03-04 15:14:59,145,265,0,1015.17,62.347,132.5,76,10070,0,0,1.913,4.913
2025-03-04 15:15:01,168,316,0,1010.351,64.279,158,76,12008,0,0,1.161,2.997
2025-03-04 15:15:03,186,351,0,1003.085,63.373,175.5,76.268,13385,0,0,1.265,3.279
2025-03-04 15:15:05,205,392,0,1008.107,67.026,196,77,15092,0,0,0.987,2.526
2025-03-04 15:15:07,229,432,0,1008.521,67.45,216,77,16632,0,0,0.877,2.512
2025-03-04 15:15:09,245,470,0,1008.623,65.366,235,77.268,18158,0,0,1.674,4.047
2025-03-04 15:15:11,266,511,0,1010.067,63.487,255.5,78,19929,0,0,0.8,2.38
2025-03-04 15:15:13,284,552,0,1002.551,66.203,276,78,21528,0,0,0.62,2.136
2025-03-04 15:15:15,307,602,0,1001.385,68.318,301,77.111,23210.5,0,0,0.781,2.375
2025-03-04 15:15:17,328,649,0,1010.008,67.666,324.5,75,24337.5,0,0,2.69,5.968
2025-03-04 15:15:19,348,684,0,1007.083,66.465,342,75,25650,0,0,0.885,2.314
2025-03-04 15:15:21,366,707,0,1008.216,66.448,353.5,75.366,26642,0,0,0.918,2.836
2025-03-04 15:15:23,389,759,0,1000.738,67.465,379.5,76,28842,0,0,0.615,2.223
2025-03-04 15:15:25,407,786,0,1008.314,63.56,393,76,29868,0,0,0.644,2.041
2025-03-04 15:15:27,427,839,0,1011.597,65.584,419.5,76.728,32187.5,0,0,0.806,2.573
2025-03-04 15:15:29,447,878,0,1008.74,67.001,439,78,34242,0,0,0.527,1.809
2025-03-04 15:15:31,468,915,0,1001.063,65.55,457.5,78,35685,0,0,0.706,2.733
2025-03-04 15:15:33,485,934,0,1009.182,66.405,467,77.62,36248.5,0,0,0.541,2.307
2025-03-04 15:15:35,507,1022,0,1005.789,64.575,511,77,39347,0,0,0.642,1.839
2025-03-04 15:15:37,528,1030,0,1004.216,64.947,515,77,39655,0,0,0.408,1.677
2025-03-04 15:15:39,548,1080,0,1007.172,69.145,540,77.007,41584,0,0,0.448,1.637
2025-03-04 15:15:41,567,1117,0,1005.437,65.827,558.5,77,43004.5,0,0,0.406,1.535
2025-03-04 15:15:43,589,1167,0,1003.697,67.024,583.5,77,44929.5,0,0,0.32,1.383
2025-03-04 15:15:45,608,1199,0,1002.817,65.854,599.5,77.412,46408.5,0,0,0.314,1.425
2025-03-04 15:15:47,626,1225,0,1002.562,65.02,612.5,78,47775,0,0,0.311,1.331
2025-03-04 15:15:49,648,1283,0,1003.055,65.638,641.5,78,50037,0,0,0.481,1.415
2025-03-04 15:15:51,668,1309,0,1002.772,67.744,654.5,78.002,51052,0,0,0.481,1.59
2025-03-04 15:15:53,688,1365,0,1003.118,67.372,682.5,78,53235,0,0,0.389,1.393
2025-03-04 15:15:55,708,1397,0,1005.835,63.553,698.5,78,54483,0,0,1.262,4.087
2025-03-04 15:15:57,728,1444,0,1001.615,64.505,722,77.076,55649,0,0,0.292,1.488
2025-03-04 15:15:59,748,1475,0,1004.866,67.086,737.5,76,56050,0,0,0.313,1.359
2025-03-04 15:16:01,769,1513,0,1000.991,67.373,756.5,76,57494,0,0,0.438,1.463
2025-03-04 15:16:03,789,1550,0,1007.35,65.469,775,77.386,59974.5,0,0,0.422,1.595
2025-03-04 15:16:05,809,1594,0,1003.492,63.895,797,79,62963,0,0,0.519,1.693
2025-03-04 15:16:07,829,1648,0,1004.266,65.59,824,79,65096,0,0,0.621,2.752
2025-03-04 15:16:09,847,1673,0,1004.629,65.411,836.5,77.995,65243,0,0,0.543,2.722
2025-03-04 15:16:11,868,1718,0,1005.779,64.756,859,77,66143,0,0,0.498,1.825
